x-axis,MATH2
 5.781250000000e-010,-2.26562e-003
 5.937500000000e-010,-1.40625e-003
 6.093750000000e-010,-6.64063e-004
 6.250000000000e-010, 2.34375e-004
 6.406250000000e-010, 1.01562e-003
 6.562500000000e-010, 1.87500e-003
 6.718750000000e-010, 2.69531e-003
 6.875000000000e-010, 3.47656e-003
 7.031250000000e-010, 4.33594e-003
 7.187500000000e-010, 5.07812e-003
 7.343750000000e-010, 5.89844e-003
 7.500000000000e-010, 6.67969e-003
 7.656250000000e-010, 7.46094e-003
 7.812500000000e-010, 8.16406e-003
 7.968750000000e-010, 8.90625e-003
 8.125000000000e-010, 9.64844e-003
 8.281250000000e-010, 1.03125e-002
 8.437500000000e-010, 1.09766e-002
 8.593750000000e-010, 1.16016e-002
 8.750000000000e-010, 1.22656e-002
 8.906250000000e-010, 1.28516e-002
 9.062500000000e-010, 1.34375e-002
 9.218750000000e-010, 1.40234e-002
 9.375000000000e-010, 1.46094e-002
 9.531250000000e-010, 1.51562e-002
 9.687500000000e-010, 1.57031e-002
 9.843750000000e-010, 1.62500e-002
 1.000000000000e-009, 1.67578e-002
 1.015625000000e-009, 1.72266e-002
 1.031250000000e-009, 1.77344e-002
 1.046875000000e-009, 1.81641e-002
 1.062500000000e-009, 1.85937e-002
 1.078125000000e-009, 1.90234e-002
 1.093750000000e-009, 1.94531e-002
 1.109375000000e-009, 1.98047e-002
 1.125000000000e-009, 2.01562e-002
 1.140625000000e-009, 2.05078e-002
 1.156250000000e-009, 2.08203e-002
 1.171875000000e-009, 2.10938e-002
 1.187500000000e-009, 2.14063e-002
 1.203125000000e-009, 2.16016e-002
 1.218750000000e-009, 2.18750e-002
 1.234375000000e-009, 2.21094e-002
 1.250000000000e-009, 2.23828e-002
 1.265625000000e-009, 2.25391e-002
 1.281250000000e-009, 2.27344e-002
 1.296875000000e-009, 2.29687e-002
 1.312500000000e-009, 2.31250e-002
 1.328125000000e-009, 2.32813e-002
 1.343750000000e-009, 2.33984e-002
 1.359375000000e-009, 2.34766e-002
 1.375000000000e-009, 2.35937e-002
 1.390625000000e-009, 2.36719e-002
 1.406250000000e-009, 2.36719e-002
 1.421875000000e-009, 2.36328e-002
 1.437500000000e-009, 2.36328e-002
 1.453125000000e-009, 2.35547e-002
 1.468750000000e-009, 2.34375e-002
 1.484375000000e-009, 2.33594e-002
 1.500000000000e-009, 2.32422e-002
 1.515625000000e-009, 2.30859e-002
 1.531250000000e-009, 2.28906e-002
 1.546875000000e-009, 2.26953e-002
 1.562500000000e-009, 2.25000e-002
 1.578125000000e-009, 2.22266e-002
 1.593750000000e-009, 2.19531e-002
 1.609375000000e-009, 2.16406e-002
 1.625000000000e-009, 2.13672e-002
 1.640625000000e-009, 2.09766e-002
 1.656250000000e-009, 2.07031e-002
 1.671875000000e-009, 2.02734e-002
 1.687500000000e-009, 1.98828e-002
 1.703125000000e-009, 1.94922e-002
 1.718750000000e-009, 1.91016e-002
 1.734375000000e-009, 1.86719e-002
 1.750000000000e-009, 1.82812e-002
 1.765625000000e-009, 1.78516e-002
 1.781250000000e-009, 1.73828e-002
 1.796875000000e-009, 1.69141e-002
 1.812500000000e-009, 1.64844e-002
 1.828125000000e-009, 1.59375e-002
 1.843750000000e-009, 1.54297e-002
 1.859375000000e-009, 1.48828e-002
 1.875000000000e-009, 1.42578e-002
 1.890625000000e-009, 1.35938e-002
 1.906250000000e-009, 1.28906e-002
 1.921875000000e-009, 1.22266e-002
 1.937500000000e-009, 1.15234e-002
 1.953125000000e-009, 1.07422e-002
 1.968750000000e-009, 1.00000e-002
 1.984375000000e-009, 9.21875e-003
 2.000000000000e-009, 8.39844e-003
 2.015625000000e-009, 7.53906e-003
 2.031250000000e-009, 6.75781e-003
 2.046875000000e-009, 5.97656e-003
 2.062500000000e-009, 5.11719e-003
 2.078125000000e-009, 4.25781e-003
 2.093750000000e-009, 3.43750e-003
 2.109375000000e-009, 2.61719e-003
 2.125000000000e-009, 1.79687e-003
 2.140625000000e-009, 9.37500e-004
 2.156250000000e-009, 1.56250e-004
 2.171875000000e-009,-7.03125e-004
 2.187500000000e-009,-1.44531e-003
 2.203125000000e-009,-2.22656e-003
 2.218750000000e-009,-3.00781e-003
 2.234375000000e-009,-3.75000e-003
 2.250000000000e-009,-4.45312e-003
 2.265625000000e-009,-5.15625e-003
 2.281250000000e-009,-5.82031e-003
 2.296875000000e-009,-6.56250e-003
 2.312500000000e-009,-7.22656e-003
 2.328125000000e-009,-7.89062e-003
 2.343750000000e-009,-8.51563e-003
 2.359375000000e-009,-9.14062e-003
 2.375000000000e-009,-9.76563e-003
 2.390625000000e-009,-1.04297e-002
 2.406250000000e-009,-1.10156e-002
 2.421875000000e-009,-1.16406e-002
 2.437500000000e-009,-1.22656e-002
 2.453125000000e-009,-1.28906e-002
 2.468750000000e-009,-1.35938e-002
 2.484375000000e-009,-1.41797e-002
 2.500000000000e-009,-1.48828e-002
 2.515625000000e-009,-1.55078e-002
 2.531250000000e-009,-1.61719e-002
 2.546875000000e-009,-1.67578e-002
 2.562500000000e-009,-1.74219e-002
 2.578125000000e-009,-1.80859e-002
 2.593750000000e-009,-1.86719e-002
 2.609375000000e-009,-1.92969e-002
 2.625000000000e-009,-1.98828e-002
 2.640625000000e-009,-2.04297e-002
 2.656250000000e-009,-2.09766e-002
 2.671875000000e-009,-2.14844e-002
 2.687500000000e-009,-2.19922e-002
 2.703125000000e-009,-2.24219e-002
 2.718750000000e-009,-2.27734e-002
 2.734375000000e-009,-2.31641e-002
 2.750000000000e-009,-2.34375e-002
 2.765625000000e-009,-2.37500e-002
 2.781250000000e-009,-2.39453e-002
 2.796875000000e-009,-2.41797e-002
 2.812500000000e-009,-2.43359e-002
 2.828125000000e-009,-2.44531e-002
 2.843750000000e-009,-2.45703e-002
 2.859375000000e-009,-2.46875e-002
 2.875000000000e-009,-2.48047e-002
 2.890625000000e-009,-2.48437e-002
 2.906250000000e-009,-2.49219e-002
 2.921875000000e-009,-2.49609e-002
 2.937500000000e-009,-2.50000e-002
 2.953125000000e-009,-2.50391e-002
 2.968750000000e-009,-2.50391e-002
 2.984375000000e-009,-2.50781e-002
 3.000000000000e-009,-2.50781e-002
 3.015625000000e-009,-2.50781e-002
 3.031250000000e-009,-2.50781e-002
 3.046875000000e-009,-2.50391e-002
 3.062500000000e-009,-2.50391e-002
 3.078125000000e-009,-2.50000e-002
 3.093750000000e-009,-2.49609e-002
 3.109375000000e-009,-2.48828e-002
 3.125000000000e-009,-2.48047e-002
 3.140625000000e-009,-2.46484e-002
 3.156250000000e-009,-2.45312e-002
 3.171875000000e-009,-2.44141e-002
 3.187500000000e-009,-2.42578e-002
 3.203125000000e-009,-2.40234e-002
 3.218750000000e-009,-2.37891e-002
 3.234375000000e-009,-2.35156e-002
 3.250000000000e-009,-2.32422e-002
 3.265625000000e-009,-2.28906e-002
 3.281250000000e-009,-2.25781e-002
 3.296875000000e-009,-2.21484e-002
 3.312500000000e-009,-2.17578e-002
 3.328125000000e-009,-2.13281e-002
 3.343750000000e-009,-2.08984e-002
 3.359375000000e-009,-2.03906e-002
 3.375000000000e-009,-1.98828e-002
 3.390625000000e-009,-1.93359e-002
 3.406250000000e-009,-1.87109e-002
 3.421875000000e-009,-1.80859e-002
 3.437500000000e-009,-1.74609e-002
 3.453125000000e-009,-1.67969e-002
 3.468750000000e-009,-1.61328e-002
 3.484375000000e-009,-1.53906e-002
 3.500000000000e-009,-1.46094e-002
 3.515625000000e-009,-1.38672e-002
 3.531250000000e-009,-1.31250e-002
 3.546875000000e-009,-1.23437e-002
 3.562500000000e-009,-1.16016e-002
 3.578125000000e-009,-1.08594e-002
 3.593750000000e-009,-1.00781e-002
 3.609375000000e-009,-9.29687e-003
 3.625000000000e-009,-8.55469e-003
 3.640625000000e-009,-7.85156e-003
 3.656250000000e-009,-7.10937e-003
 3.671875000000e-009,-6.32813e-003
 3.687500000000e-009,-5.54687e-003
 3.703125000000e-009,-4.80469e-003
 3.718750000000e-009,-3.98437e-003
 3.734375000000e-009,-3.24219e-003
 3.750000000000e-009,-2.42188e-003
 3.765625000000e-009,-1.60156e-003
 3.781250000000e-009,-8.59375e-004
 3.796875000000e-009, 0.00000e+000
 3.812500000000e-009, 7.81250e-004
 3.828125000000e-009, 1.60156e-003
 3.843750000000e-009, 2.42188e-003
 3.859375000000e-009, 3.20312e-003
 3.875000000000e-009, 4.02344e-003
 3.890625000000e-009, 4.80469e-003
 3.906250000000e-009, 5.62500e-003
 3.921875000000e-009, 6.36719e-003
 3.937500000000e-009, 7.18750e-003
 3.953125000000e-009, 7.92969e-003
 3.968750000000e-009, 8.67188e-003
 3.984375000000e-009, 9.45312e-003
 4.000000000000e-009, 1.01562e-002
 4.015625000000e-009, 1.08203e-002
 4.031250000000e-009, 1.14844e-002
 4.046875000000e-009, 1.21484e-002
 4.062500000000e-009, 1.28125e-002
 4.078125000000e-009, 1.34375e-002
 4.093750000000e-009, 1.40234e-002
 4.109375000000e-009, 1.46094e-002
 4.125000000000e-009, 1.51953e-002
 4.140625000000e-009, 1.57422e-002
 4.156250000000e-009, 1.62891e-002
 4.171875000000e-009, 1.67969e-002
 4.187500000000e-009, 1.73047e-002
 4.203125000000e-009, 1.77734e-002
 4.218750000000e-009, 1.82422e-002
 4.234375000000e-009, 1.86328e-002
 4.250000000000e-009, 1.90625e-002
 4.265625000000e-009, 1.94922e-002
 4.281250000000e-009, 1.98047e-002
 4.296875000000e-009, 2.01562e-002
 4.312500000000e-009, 2.04297e-002
 4.328125000000e-009, 2.07812e-002
 4.343750000000e-009, 2.10156e-002
 4.359375000000e-009, 2.13281e-002
 4.375000000000e-009, 2.15625e-002
 4.390625000000e-009, 2.17187e-002
 4.406250000000e-009, 2.19531e-002
 4.421875000000e-009, 2.21875e-002
 4.437500000000e-009, 2.23828e-002
 4.453125000000e-009, 2.25781e-002
 4.468750000000e-009, 2.27344e-002
 4.484375000000e-009, 2.29687e-002
 4.500000000000e-009, 2.30859e-002
 4.515625000000e-009, 2.32422e-002
 4.531250000000e-009, 2.33594e-002
 4.546875000000e-009, 2.34375e-002
 4.562500000000e-009, 2.35547e-002
 4.578125000000e-009, 2.35937e-002
 4.593750000000e-009, 2.36719e-002
 4.609375000000e-009, 2.36328e-002
 4.625000000000e-009, 2.36328e-002
 4.640625000000e-009, 2.35547e-002
 4.656250000000e-009, 2.34766e-002
 4.671875000000e-009, 2.33594e-002
 4.687500000000e-009, 2.32813e-002
 4.703125000000e-009, 2.31250e-002
 4.718750000000e-009, 2.29687e-002
 4.734375000000e-009, 2.26953e-002
 4.750000000000e-009, 2.24609e-002
 4.765625000000e-009, 2.21875e-002
 4.781250000000e-009, 2.18750e-002
 4.796875000000e-009, 2.15625e-002
 4.812500000000e-009, 2.12109e-002
 4.828125000000e-009, 2.08203e-002
 4.843750000000e-009, 2.04297e-002
 4.859375000000e-009, 2.00391e-002
 4.875000000000e-009, 1.95703e-002
 4.890625000000e-009, 1.91016e-002
 4.906250000000e-009, 1.86328e-002
 4.921875000000e-009, 1.82422e-002
 4.937500000000e-009, 1.77734e-002
 4.953125000000e-009, 1.73047e-002
 4.968750000000e-009, 1.67969e-002
