x-axis,MATH1
-3.234375000000e-009,-3.24609e-002
-3.218750000000e-009,-3.25391e-002
-3.203125000000e-009,-3.25781e-002
-3.187500000000e-009,-3.26172e-002
-3.171875000000e-009,-3.26562e-002
-3.156250000000e-009,-3.26172e-002
-3.140625000000e-009,-3.26172e-002
-3.125000000000e-009,-3.26172e-002
-3.109375000000e-009,-3.25781e-002
-3.093750000000e-009,-3.25391e-002
-3.078125000000e-009,-3.25391e-002
-3.062500000000e-009,-3.25000e-002
-3.046875000000e-009,-3.24219e-002
-3.031250000000e-009,-3.23047e-002
-3.015625000000e-009,-3.22656e-002
-3.000000000000e-009,-3.21875e-002
-2.984375000000e-009,-3.20703e-002
-2.968750000000e-009,-3.19531e-002
-2.953125000000e-009,-3.17578e-002
-2.937500000000e-009,-3.15625e-002
-2.921875000000e-009,-3.13672e-002
-2.906250000000e-009,-3.10547e-002
-2.890625000000e-009,-3.07812e-002
-2.875000000000e-009,-3.03906e-002
-2.859375000000e-009,-2.99219e-002
-2.843750000000e-009,-2.93750e-002
-2.828125000000e-009,-2.89062e-002
-2.812500000000e-009,-2.83203e-002
-2.796875000000e-009,-2.76172e-002
-2.781250000000e-009,-2.69141e-002
-2.765625000000e-009,-2.61719e-002
-2.750000000000e-009,-2.54297e-002
-2.734375000000e-009,-2.45703e-002
-2.718750000000e-009,-2.37500e-002
-2.703125000000e-009,-2.28516e-002
-2.687500000000e-009,-2.19922e-002
-2.671875000000e-009,-2.10547e-002
-2.656250000000e-009,-2.01562e-002
-2.640625000000e-009,-1.91797e-002
-2.625000000000e-009,-1.82812e-002
-2.609375000000e-009,-1.73047e-002
-2.593750000000e-009,-1.63672e-002
-2.578125000000e-009,-1.54687e-002
-2.562500000000e-009,-1.45313e-002
-2.546875000000e-009,-1.36328e-002
-2.531250000000e-009,-1.27344e-002
-2.515625000000e-009,-1.18750e-002
-2.500000000000e-009,-1.09766e-002
-2.484375000000e-009,-1.01172e-002
-2.468750000000e-009,-9.25781e-003
-2.453125000000e-009,-8.43750e-003
-2.437500000000e-009,-7.53906e-003
-2.421875000000e-009,-6.71875e-003
-2.406250000000e-009,-5.85938e-003
-2.390625000000e-009,-4.96094e-003
-2.375000000000e-009,-4.06250e-003
-2.359375000000e-009,-3.16406e-003
-2.343750000000e-009,-2.22656e-003
-2.328125000000e-009,-1.32813e-003
-2.312500000000e-009,-3.90625e-004
-2.296875000000e-009, 6.25000e-004
-2.281250000000e-009, 1.56250e-003
-2.265625000000e-009, 2.57812e-003
-2.250000000000e-009, 3.47656e-003
-2.234375000000e-009, 4.49219e-003
-2.218750000000e-009, 5.50781e-003
-2.203125000000e-009, 6.48437e-003
-2.187500000000e-009, 7.42187e-003
-2.171875000000e-009, 8.39844e-003
-2.156250000000e-009, 9.33594e-003
-2.140625000000e-009, 1.03516e-002
-2.125000000000e-009, 1.13281e-002
-2.109375000000e-009, 1.22266e-002
-2.093750000000e-009, 1.32031e-002
-2.078125000000e-009, 1.40625e-002
-2.062500000000e-009, 1.49609e-002
-2.046875000000e-009, 1.58203e-002
-2.031250000000e-009, 1.67187e-002
-2.015625000000e-009, 1.75000e-002
-2.000000000000e-009, 1.82812e-002
-1.984375000000e-009, 1.90234e-002
-1.968750000000e-009, 1.97266e-002
-1.953125000000e-009, 2.03906e-002
-1.937500000000e-009, 2.10547e-002
-1.921875000000e-009, 2.17187e-002
-1.906250000000e-009, 2.23047e-002
-1.890625000000e-009, 2.28906e-002
-1.875000000000e-009, 2.34766e-002
-1.859375000000e-009, 2.40234e-002
-1.843750000000e-009, 2.45312e-002
-1.828125000000e-009, 2.50391e-002
-1.812500000000e-009, 2.55078e-002
-1.796875000000e-009, 2.59766e-002
-1.781250000000e-009, 2.64062e-002
-1.765625000000e-009, 2.67969e-002
-1.750000000000e-009, 2.72266e-002
-1.734375000000e-009, 2.75781e-002
-1.718750000000e-009, 2.79687e-002
-1.703125000000e-009, 2.83594e-002
-1.687500000000e-009, 2.86719e-002
-1.671875000000e-009, 2.90234e-002
-1.656250000000e-009, 2.93359e-002
-1.640625000000e-009, 2.96094e-002
-1.625000000000e-009, 2.98828e-002
-1.609375000000e-009, 3.01953e-002
-1.593750000000e-009, 3.03516e-002
-1.578125000000e-009, 3.05469e-002
-1.562500000000e-009, 3.07812e-002
-1.546875000000e-009, 3.08594e-002
-1.531250000000e-009, 3.09375e-002
-1.515625000000e-009, 3.09766e-002
-1.500000000000e-009, 3.10547e-002
-1.484375000000e-009, 3.09766e-002
-1.468750000000e-009, 3.09375e-002
-1.453125000000e-009, 3.08594e-002
-1.437500000000e-009, 3.07031e-002
-1.421875000000e-009, 3.04687e-002
-1.406250000000e-009, 3.02344e-002
-1.390625000000e-009, 3.00000e-002
-1.375000000000e-009, 2.96484e-002
-1.359375000000e-009, 2.92188e-002
-1.343750000000e-009, 2.88281e-002
-1.328125000000e-009, 2.83203e-002
-1.312500000000e-009, 2.78125e-002
-1.296875000000e-009, 2.73047e-002
-1.281250000000e-009, 2.67187e-002
-1.265625000000e-009, 2.61328e-002
-1.250000000000e-009, 2.55469e-002
-1.234375000000e-009, 2.49219e-002
-1.218750000000e-009, 2.42969e-002
-1.203125000000e-009, 2.36719e-002
-1.187500000000e-009, 2.30469e-002
-1.171875000000e-009, 2.23828e-002
-1.156250000000e-009, 2.17187e-002
-1.140625000000e-009, 2.10156e-002
-1.125000000000e-009, 2.03906e-002
-1.109375000000e-009, 1.96875e-002
-1.093750000000e-009, 1.90234e-002
-1.078125000000e-009, 1.83594e-002
-1.062500000000e-009, 1.75781e-002
-1.046875000000e-009, 1.68750e-002
-1.031250000000e-009, 1.61719e-002
-1.015625000000e-009, 1.54297e-002
-1.000000000000e-009, 1.46094e-002
-9.843750000000e-010, 1.38672e-002
-9.687500000000e-010, 1.30469e-002
-9.531250000000e-010, 1.21875e-002
-9.375000000000e-010, 1.13281e-002
-9.218750000000e-010, 1.04297e-002
-9.062500000000e-010, 9.49219e-003
-8.906250000000e-010, 8.51563e-003
-8.750000000000e-010, 7.53906e-003
-8.593750000000e-010, 6.52344e-003
-8.437500000000e-010, 5.46875e-003
-8.281250000000e-010, 4.41406e-003
-8.125000000000e-010, 3.32031e-003
-7.968750000000e-010, 2.22656e-003
-7.812500000000e-010, 1.21094e-003
-7.656250000000e-010, 1.17187e-004
-7.500000000000e-010,-9.76563e-004
-7.343750000000e-010,-2.07031e-003
-7.187500000000e-010,-3.12500e-003
-7.031250000000e-010,-4.17969e-003
-6.875000000000e-010,-5.23437e-003
-6.718750000000e-010,-6.25000e-003
-6.562500000000e-010,-7.22656e-003
-6.406250000000e-010,-8.16406e-003
-6.250000000000e-010,-9.10156e-003
-6.093750000000e-010,-9.96094e-003
-5.937500000000e-010,-1.08203e-002
-5.781250000000e-010,-1.16016e-002
-5.625000000000e-010,-1.24609e-002
-5.468750000000e-010,-1.32422e-002
-5.312500000000e-010,-1.39453e-002
-5.156250000000e-010,-1.46875e-002
-5.000000000000e-010,-1.54297e-002
-4.843750000000e-010,-1.61328e-002
-4.687500000000e-010,-1.67969e-002
-4.531250000000e-010,-1.75000e-002
-4.375000000000e-010,-1.81641e-002
-4.218750000000e-010,-1.89062e-002
-4.062500000000e-010,-1.96484e-002
-3.906250000000e-010,-2.03906e-002
-3.750000000000e-010,-2.10938e-002
-3.593750000000e-010,-2.19141e-002
-3.437500000000e-010,-2.26172e-002
-3.281250000000e-010,-2.33984e-002
-3.125000000000e-010,-2.41797e-002
-2.968750000000e-010,-2.49219e-002
-2.812500000000e-010,-2.56250e-002
-2.656250000000e-010,-2.63672e-002
-2.500000000000e-010,-2.71094e-002
-2.343750000000e-010,-2.78125e-002
-2.187500000000e-010,-2.84766e-002
-2.031250000000e-010,-2.91406e-002
-1.875000000000e-010,-2.97656e-002
-1.718750000000e-010,-3.03906e-002
-1.562500000000e-010,-3.09766e-002
-1.406250000000e-010,-3.14844e-002
-1.250000000000e-010,-3.19922e-002
-1.093750000000e-010,-3.24609e-002
-9.375000000000e-011,-3.27734e-002
-7.812500000000e-011,-3.30859e-002
-6.250000000000e-011,-3.32812e-002
-4.687500000000e-011,-3.33984e-002
-3.125000000000e-011,-3.34766e-002
-1.562500000000e-011,-3.34375e-002
 0.000000000000e+000,-3.33984e-002
 1.562500000000e-011,-3.32812e-002
 3.125000000000e-011,-3.31250e-002
 4.687500000000e-011,-3.29297e-002
 6.250000000000e-011,-3.27734e-002
 7.812500000000e-011,-3.26172e-002
 9.375000000000e-011,-3.24219e-002
 1.093750000000e-010,-3.22266e-002
 1.250000000000e-010,-3.21094e-002
 1.406250000000e-010,-3.19531e-002
 1.562500000000e-010,-3.18359e-002
 1.718750000000e-010,-3.16406e-002
 1.875000000000e-010,-3.14844e-002
 2.031250000000e-010,-3.12891e-002
 2.187500000000e-010,-3.10547e-002
 2.343750000000e-010,-3.08984e-002
 2.500000000000e-010,-3.06641e-002
 2.656250000000e-010,-3.03906e-002
 2.812500000000e-010,-3.01562e-002
 2.968750000000e-010,-2.98047e-002
 3.125000000000e-010,-2.94922e-002
 3.281250000000e-010,-2.91016e-002
 3.437500000000e-010,-2.87109e-002
 3.593750000000e-010,-2.83203e-002
 3.750000000000e-010,-2.78125e-002
 3.906250000000e-010,-2.72656e-002
 4.062500000000e-010,-2.66797e-002
 4.218750000000e-010,-2.60156e-002
 4.375000000000e-010,-2.52734e-002
 4.531250000000e-010,-2.44922e-002
 4.687500000000e-010,-2.36719e-002
 4.843750000000e-010,-2.27734e-002
 5.000000000000e-010,-2.18750e-002
 5.156250000000e-010,-2.08984e-002
 5.312500000000e-010,-1.99219e-002
 5.468750000000e-010,-1.89453e-002
 5.625000000000e-010,-1.79297e-002
 5.781250000000e-010,-1.69141e-002
 5.937500000000e-010,-1.59375e-002
 6.093750000000e-010,-1.48828e-002
 6.250000000000e-010,-1.38672e-002
 6.406250000000e-010,-1.28516e-002
 6.562500000000e-010,-1.18750e-002
 6.718750000000e-010,-1.08984e-002
 6.875000000000e-010,-9.96094e-003
 7.031250000000e-010,-9.02344e-003
 7.187500000000e-010,-8.08594e-003
 7.343750000000e-010,-7.18750e-003
 7.500000000000e-010,-6.25000e-003
 7.656250000000e-010,-5.42969e-003
 7.812500000000e-010,-4.57031e-003
 7.968750000000e-010,-3.71094e-003
 8.125000000000e-010,-2.85156e-003
 8.281250000000e-010,-1.99219e-003
 8.437500000000e-010,-1.13281e-003
 8.593750000000e-010,-3.12500e-004
 8.750000000000e-010, 5.46875e-004
 8.906250000000e-010, 1.40625e-003
 9.062500000000e-010, 2.26562e-003
 9.218750000000e-010, 3.20312e-003
 9.375000000000e-010, 4.06250e-003
 9.531250000000e-010, 5.00000e-003
 9.687500000000e-010, 5.93750e-003
 9.843750000000e-010, 6.83594e-003
 1.000000000000e-009, 7.81250e-003
 1.015625000000e-009, 8.75000e-003
 1.031250000000e-009, 9.72656e-003
 1.046875000000e-009, 1.07031e-002
 1.062500000000e-009, 1.16406e-002
 1.078125000000e-009, 1.26172e-002
 1.093750000000e-009, 1.35938e-002
 1.109375000000e-009, 1.45313e-002
 1.125000000000e-009, 1.55078e-002
 1.140625000000e-009, 1.63672e-002
 1.156250000000e-009, 1.73047e-002
 1.171875000000e-009, 1.81641e-002
 1.187500000000e-009, 1.89844e-002
 1.203125000000e-009, 1.97656e-002
 1.218750000000e-009, 2.05078e-002
 1.234375000000e-009, 2.12500e-002
 1.250000000000e-009, 2.19141e-002
 1.265625000000e-009, 2.25391e-002
 1.281250000000e-009, 2.31641e-002
 1.296875000000e-009, 2.37109e-002
 1.312500000000e-009, 2.42578e-002
 1.328125000000e-009, 2.47656e-002
 1.343750000000e-009, 2.51953e-002
 1.359375000000e-009, 2.56250e-002
 1.375000000000e-009, 2.60937e-002
 1.390625000000e-009, 2.64844e-002
 1.406250000000e-009, 2.68750e-002
 1.421875000000e-009, 2.72266e-002
 1.437500000000e-009, 2.75781e-002
 1.453125000000e-009, 2.79297e-002
 1.468750000000e-009, 2.82422e-002
 1.484375000000e-009, 2.85156e-002
 1.500000000000e-009, 2.88672e-002
 1.515625000000e-009, 2.91406e-002
 1.531250000000e-009, 2.94141e-002
 1.546875000000e-009, 2.96484e-002
 1.562500000000e-009, 2.98437e-002
 1.578125000000e-009, 3.00781e-002
 1.593750000000e-009, 3.02734e-002
 1.609375000000e-009, 3.04297e-002
 1.625000000000e-009, 3.06250e-002
 1.640625000000e-009, 3.07031e-002
 1.656250000000e-009, 3.07812e-002
 1.671875000000e-009, 3.08203e-002
 1.687500000000e-009, 3.08594e-002
 1.703125000000e-009, 3.08203e-002
 1.718750000000e-009, 3.07422e-002
 1.734375000000e-009, 3.06641e-002
 1.750000000000e-009, 3.04687e-002
 1.765625000000e-009, 3.02734e-002
 1.781250000000e-009, 3.00781e-002
 1.796875000000e-009, 2.97266e-002
 1.812500000000e-009, 2.94531e-002
 1.828125000000e-009, 2.90234e-002
 1.843750000000e-009, 2.86328e-002
 1.859375000000e-009, 2.81641e-002
 1.875000000000e-009, 2.76953e-002
 1.890625000000e-009, 2.71484e-002
 1.906250000000e-009, 2.66016e-002
 1.921875000000e-009, 2.59766e-002
 1.937500000000e-009, 2.53906e-002
 1.953125000000e-009, 2.47266e-002
 1.968750000000e-009, 2.40234e-002
 1.984375000000e-009, 2.33594e-002
 2.000000000000e-009, 2.26562e-002
 2.015625000000e-009, 2.19531e-002
 2.031250000000e-009, 2.12500e-002
 2.046875000000e-009, 2.04687e-002
 2.062500000000e-009, 1.97656e-002
 2.078125000000e-009, 1.90234e-002
 2.093750000000e-009, 1.82812e-002
 2.109375000000e-009, 1.75000e-002
 2.125000000000e-009, 1.67578e-002
 2.140625000000e-009, 1.59766e-002
 2.156250000000e-009, 1.51562e-002
 2.171875000000e-009, 1.43750e-002
 2.187500000000e-009, 1.36328e-002
 2.203125000000e-009, 1.27344e-002
 2.218750000000e-009, 1.19531e-002
 2.234375000000e-009, 1.10937e-002
 2.250000000000e-009, 1.02344e-002
 2.265625000000e-009, 9.33594e-003
 2.281250000000e-009, 8.43750e-003
 2.296875000000e-009, 7.53906e-003
 2.312500000000e-009, 6.64062e-003
 2.328125000000e-009, 5.66406e-003
 2.343750000000e-009, 4.72656e-003
 2.359375000000e-009, 3.75000e-003
 2.375000000000e-009, 2.73437e-003
 2.390625000000e-009, 1.67969e-003
 2.406250000000e-009, 7.03125e-004
 2.421875000000e-009,-3.51562e-004
 2.437500000000e-009,-1.40625e-003
 2.453125000000e-009,-2.46094e-003
 2.468750000000e-009,-3.51562e-003
 2.484375000000e-009,-4.53125e-003
 2.500000000000e-009,-5.62500e-003
 2.515625000000e-009,-6.64062e-003
 2.531250000000e-009,-7.61719e-003
 2.546875000000e-009,-8.59375e-003
 2.562500000000e-009,-9.60938e-003
 2.578125000000e-009,-1.05078e-002
 2.593750000000e-009,-1.14453e-002
 2.609375000000e-009,-1.23437e-002
 2.625000000000e-009,-1.32031e-002
 2.640625000000e-009,-1.40625e-002
 2.656250000000e-009,-1.49219e-002
 2.671875000000e-009,-1.56641e-002
 2.687500000000e-009,-1.65234e-002
 2.703125000000e-009,-1.73047e-002
 2.718750000000e-009,-1.80078e-002
 2.734375000000e-009,-1.87109e-002
 2.750000000000e-009,-1.94531e-002
 2.765625000000e-009,-2.01562e-002
 2.781250000000e-009,-2.08203e-002
 2.796875000000e-009,-2.14453e-002
 2.812500000000e-009,-2.20703e-002
 2.828125000000e-009,-2.27344e-002
 2.843750000000e-009,-2.33203e-002
 2.859375000000e-009,-2.39844e-002
 2.875000000000e-009,-2.46094e-002
 2.890625000000e-009,-2.52344e-002
 2.906250000000e-009,-2.58594e-002
 2.921875000000e-009,-2.65625e-002
 2.937500000000e-009,-2.71875e-002
 2.953125000000e-009,-2.78125e-002
 2.968750000000e-009,-2.84375e-002
 2.984375000000e-009,-2.90625e-002
 3.000000000000e-009,-2.96484e-002
 3.015625000000e-009,-3.02344e-002
 3.031250000000e-009,-3.07812e-002
 3.046875000000e-009,-3.12891e-002
 3.062500000000e-009,-3.17578e-002
 3.078125000000e-009,-3.22266e-002
 3.093750000000e-009,-3.26172e-002
 3.109375000000e-009,-3.29297e-002
 3.125000000000e-009,-3.32422e-002
 3.140625000000e-009,-3.34766e-002
 3.156250000000e-009,-3.37109e-002
 3.171875000000e-009,-3.37891e-002
 3.187500000000e-009,-3.38672e-002
 3.203125000000e-009,-3.39062e-002
 3.218750000000e-009,-3.38672e-002
 3.234375000000e-009,-3.37500e-002
 3.250000000000e-009,-3.35937e-002
 3.265625000000e-009,-3.33984e-002
 3.281250000000e-009,-3.31641e-002
 3.296875000000e-009,-3.28906e-002
 3.312500000000e-009,-3.26562e-002
 3.328125000000e-009,-3.23047e-002
 3.343750000000e-009,-3.20312e-002
 3.359375000000e-009,-3.16797e-002
 3.375000000000e-009,-3.13672e-002
 3.390625000000e-009,-3.10156e-002
 3.406250000000e-009,-3.06641e-002
 3.421875000000e-009,-3.03516e-002
 3.437500000000e-009,-2.99609e-002
 3.453125000000e-009,-2.96094e-002
 3.468750000000e-009,-2.92578e-002
 3.484375000000e-009,-2.89062e-002
 3.500000000000e-009,-2.85156e-002
 3.515625000000e-009,-2.80859e-002
 3.531250000000e-009,-2.76953e-002
 3.546875000000e-009,-2.71875e-002
 3.562500000000e-009,-2.67187e-002
 3.578125000000e-009,-2.62500e-002
 3.593750000000e-009,-2.57031e-002
 3.609375000000e-009,-2.50781e-002
 3.625000000000e-009,-2.44531e-002
 3.640625000000e-009,-2.37891e-002
 3.656250000000e-009,-2.31250e-002
 3.671875000000e-009,-2.23437e-002
 3.687500000000e-009,-2.15234e-002
 3.703125000000e-009,-2.07031e-002
 3.718750000000e-009,-1.98047e-002
 3.734375000000e-009,-1.88672e-002
 3.750000000000e-009,-1.78906e-002
 3.765625000000e-009,-1.68750e-002
 3.781250000000e-009,-1.58203e-002
 3.796875000000e-009,-1.47656e-002
 3.812500000000e-009,-1.37109e-002
 3.828125000000e-009,-1.26172e-002
 3.843750000000e-009,-1.14844e-002
 3.859375000000e-009,-1.04297e-002
 3.875000000000e-009,-9.33594e-003
 3.890625000000e-009,-8.32031e-003
 3.906250000000e-009,-7.30469e-003
 3.921875000000e-009,-6.21094e-003
 3.937500000000e-009,-5.19531e-003
 3.953125000000e-009,-4.25781e-003
 3.968750000000e-009,-3.32031e-003
 3.984375000000e-009,-2.34375e-003
 4.000000000000e-009,-1.44531e-003
 4.015625000000e-009,-5.85937e-004
 4.031250000000e-009, 2.73438e-004
 4.046875000000e-009, 1.09375e-003
 4.062500000000e-009, 1.95313e-003
 4.078125000000e-009, 2.73437e-003
 4.093750000000e-009, 3.47656e-003
 4.109375000000e-009, 4.33594e-003
 4.125000000000e-009, 5.07812e-003
 4.140625000000e-009, 5.89844e-003
 4.156250000000e-009, 6.67969e-003
 4.171875000000e-009, 7.50000e-003
 4.187500000000e-009, 8.35937e-003
 4.203125000000e-009, 9.17969e-003
 4.218750000000e-009, 1.00781e-002
 4.234375000000e-009, 1.09375e-002
 4.250000000000e-009, 1.19141e-002
 4.265625000000e-009, 1.28125e-002
 4.281250000000e-009, 1.37891e-002
 4.296875000000e-009, 1.47656e-002
 4.312500000000e-009, 1.56641e-002
 4.328125000000e-009, 1.66406e-002
 4.343750000000e-009, 1.75000e-002
 4.359375000000e-009, 1.84375e-002
 4.375000000000e-009, 1.92578e-002
 4.390625000000e-009, 2.01562e-002
 4.406250000000e-009, 2.09766e-002
 4.421875000000e-009, 2.17187e-002
 4.437500000000e-009, 2.25000e-002
 4.453125000000e-009, 2.32031e-002
 4.468750000000e-009, 2.38672e-002
 4.484375000000e-009, 2.44922e-002
 4.500000000000e-009, 2.50781e-002
 4.515625000000e-009, 2.56250e-002
 4.531250000000e-009, 2.61328e-002
 4.546875000000e-009, 2.65625e-002
 4.562500000000e-009, 2.69531e-002
 4.578125000000e-009, 2.73438e-002
 4.593750000000e-009, 2.76562e-002
 4.609375000000e-009, 2.79297e-002
 4.625000000000e-009, 2.81641e-002
 4.640625000000e-009, 2.84375e-002
 4.656250000000e-009, 2.85937e-002
 4.671875000000e-009, 2.88281e-002
 4.687500000000e-009, 2.90625e-002
 4.703125000000e-009, 2.92188e-002
 4.718750000000e-009, 2.94141e-002
 4.734375000000e-009, 2.96094e-002
 4.750000000000e-009, 2.97266e-002
 4.765625000000e-009, 2.98828e-002
 4.781250000000e-009, 3.00391e-002
 4.796875000000e-009, 3.01953e-002
 4.812500000000e-009, 3.02734e-002
 4.828125000000e-009, 3.03906e-002
 4.843750000000e-009, 3.04297e-002
 4.859375000000e-009, 3.04687e-002
 4.875000000000e-009, 3.04687e-002
 4.890625000000e-009, 3.04687e-002
 4.906250000000e-009, 3.04297e-002
 4.921875000000e-009, 3.03516e-002
 4.937500000000e-009, 3.02734e-002
 4.953125000000e-009, 3.01172e-002
 4.968750000000e-009, 2.98437e-002
 4.984375000000e-009, 2.96094e-002
